name,zoom,individualId,lat,lng,areaId,URL,notes,icon,whether,type
霞ヶ浦南部,13,L14,35.960772,140.460806,IBARAKI_KASUMIGAURA,,,spot,,special
古渡入周辺,13,L15,35.98578,140.371714,IBARAKI_KASUMIGAURA,,,spot,,special$substitute
新利根川周辺,13.5,L16,35.941202,140.403397,IBARAKI_KASUMIGAURA,,,spot,,special
利根川周辺水路,13.5,L17,35.894514,140.352052,IBARAKI_KASUMIGAURA,,,spot,,special
潮来前川,15.5,L18,35.946262,140.570496,IBARAKI_KASUMIGAURA,,,spot,,
大利根飛行場周辺,15,L19,35.867418,140.244405,IBARAKI_KASUMIGAURA,,,spot,,
川島橋,16,L20,36.29306,139.909655,IBARAKI_TSUKUBA,,,spot,,assistant
鵠戸川,16,L21,36.04823,139.86869,IBARAKI_TSUKUBA,,,spot,,assistant
西仁連川,15.5,L22,36.20079,139.831249,IBARAKI_TSUKUBA,,鬼怒川小貝漁業協同組合,spot,,representative
稲荷川周辺,16.5,L23,35.975409,140.122692,IBARAKI_TSUKUBA,,牛久沼漁業協同組合,spot,,substitute
長井戸中央排水路,16,L24,36.1133,139.785715,IBARAKI_TSUKUBA,,,spot,,
五霞落川,15.5,L25,36.082176,139.765393,IBARAKI_TSUKUBA,,,spot,,
増渕魚園,,L26,36.86367,140.633328,IBARAKI_HITACHI,,〒319-1531 茨城県北茨城市華川町花園４６９−３,fish3,,
TABIMASU BASE,,L27,36.86091,140.58927,IBARAKI_HITACHI,,〒318-0106 茨城県高萩市下君田２０,fish3,,
若栗フィッシングの森,,L28,36.77173,140.620191,IBARAKI_HITACHI,,〒318-0102 茨城県高萩市若栗６２,fish3,,
高萩ふれあいの里,,L29,36.777779,140.597333,IBARAKI_HITACHI,,〒318-0105 茨城県高萩市上君田 １７９１,fish3,,
若駒釣り堀センター,,L30,36.803585,140.525954,IBARAKI_HITACHI,,〒311-0501 茨城県常陸太田市里川町８４２,fish3,,
北沢ニジマスセンター,,L31,36.613091,140.56372,IBARAKI_HITACHI,,〒311-0311 茨城県常陸太田市町屋町２３９７,fish3,,
舟生沢つり堀センター,,L32,36.655617,140.376442,IBARAKI_HITACHI,,〒319-3107 茨城県常陸大宮市舟生１４９５,fish3,,
つりぼり芳山荘,,L33,36.744654,140.290242,IBARAKI_HITACHI,,〒319-3534 茨城県久慈郡大子町相川２０６０,fish3,,
大子へら鮒センター,,L34,36.774377,140.356771,IBARAKI_HITACHI,,〒319-3551 茨城県久慈郡大子町池田２６７６,fish4,,
へらセンター緒川,,L35,36.613297,140.316254,IBARAKI_HITACHI,,〒319-2401 茨城県常陸大宮市上小瀬４１６２,fish4,,
粟原釣り場,,L36,36.498206,140.497454,IBARAKI_HITACHI,,〒311-0136 茨城県常陸太田市粟原町１７９７,fish4,,
ふれあいの里釣り堀,,L37,36.438819,140.356763,IBARAKI_HITACHI,,〒311-4313 茨城県東茨城郡城里町上入野４３９７,fish3,,
富士見池 第二池,,L38,35.998208,140.56225,IBARAKI_KASUMIGAURA,,〒311-2403 茨城県潮来市釜谷７３１,fish6,,
富士見池 第一池,,L39,36.004222,140.54643,IBARAKI_KASUMIGAURA,,〒311-2401 茨城県潮来市大賀１５８−２,fish6,,
北浦・渚,,L40,35.999249,140.563623,IBARAKI_KASUMIGAURA,,〒311-2403 茨城県潮来市釜谷７３１,fish6,,
明神池へら鮒池,,L41,36.122152,140.203756,IBARAKI_KASUMIGAURA,,〒300-0005 茨城県土浦市中貫,fish4,,
フィッシングＤｏＤｏｏ,,L42,36.189456,140.2158,IBARAKI_KASUMIGAURA,,〒315-0076 茨城県かすみがうら市上志筑５０８,fish3,,
柏原池公園つり池,,L43,36.211408,140.257685,IBARAKI_KASUMIGAURA,,〒315-0003 茨城県石岡市谷向町２１−３０,fish4,,
乙戸沼公園 釣り場,,L44,36.041289,140.146462,IBARAKI_KASUMIGAURA,,〒300-0849 茨城県土浦市卸町 小山田１丁目２１５９−２,fish4,,
宍塚大池,,L45,36.080781,140.163043,IBARAKI_KASUMIGAURA,,〒300-0805 茨城県土浦市宍塚７２９,fish4,,
フィッシングエリアJ,,L46,36.086169,140.159371,IBARAKI_KASUMIGAURA,,〒300-0805 茨城県土浦市宍塚１０１３,fish3,,
水と緑の里公園,,L47,36.068989,140.193341,IBARAKI_KASUMIGAURA,,〒300-0813 茨城県土浦市富士崎２丁目７−１１,fish4,,
一杯館池,,L48,36.094583,140.131873,IBARAKI_KASUMIGAURA,,〒305-0025 茨城県つくば市花室,fish4,,
金田池,,L49,36.098654,140.132694,IBARAKI_KASUMIGAURA,,〒305-0018 茨城県つくば市金田１４９１−４,fish4,,
つりぼり62,,L50,36.078047,140.114871,IBARAKI_KASUMIGAURA,,〒305-0032 茨城県つくば市竹園１丁目９−２,fish4,,
梶ノ宮池,,L51,36.137958,140.14434,IBARAKI_KASUMIGAURA,,〒300-4105 茨城県土浦市田宮１３０３,fish4,,
ミッドクリークフィッシングエリア,,L52,36.188421,140.157441,IBARAKI_KASUMIGAURA,,〒315-0146 茨城県石岡市菖蒲沢８０,fish3,,
能場沼,,L53,35.880258,140.317627,IBARAKI_KASUMIGAURA,,〒300-1403 茨城県稲敷郡河内町金江津８１３７,fish4,,
丸堀池,,L54,35.91142,140.389212,IBARAKI_KASUMIGAURA,,〒300-0745 茨城県稲敷市清久島１０６４,fish4,,
福祉センター脇の池,,L55,36.124144,140.11605,IBARAKI_KASUMIGAURA,,〒305-0001 茨城県つくば市栗原,fish4,,
