group,name,lat,lng,notes,icon,areaId
DAISO,イオンタウン水戸南店,36.30936,140.4398,茨城県東茨城郡茨城町大字長岡3480イオンタウン水戸南店内,shop4,IBARAKI_HITACHI
DAISO,茨城とうかい店,36.46545,140.56163,茨城県那珂郡東海村舟石川駅西4丁目4-6,shop4,IBARAKI_HITACHI
DAISO,カスミ東海中央店,36.45024,140.58775,茨城県那珂郡東海村村松2104-7,shop4,IBARAKI_HITACHI
DAISO,サンモリノ那珂店,36.42963,140.5127,茨城県那珂市菅谷1618-2サンモリノ那珂店内,shop4,IBARAKI_HITACHI
DAISO,やまや鮎川店,36.56767,140.63757,茨城県日立市鮎川町2丁目6-30,shop4,IBARAKI_HITACHI
DAISO,カスミ日立鮎川店,36.56891,140.64758,茨城県日立市鮎川町4-1-55,shop4,IBARAKI_HITACHI
DAISO,ヨークタウン日立河原子店,36.54782,140.64174,茨城県日立市河原子町1-3-4ヨークタウン日立河原子内,shop4,IBARAKI_HITACHI
DAISO,やまや日立滑川店,36.6104,140.6618,茨城県日立市滑川町2-8-3,shop4,IBARAKI_HITACHI
DAISO,マルト日立滑川店,36.61616,140.67128,茨城県日立市滑川本町5-4-2,shop4,IBARAKI_HITACHI
DAISO,カスミ日立豊浦店,36.66604,140.69093,茨城県日立市川尻町5-3-17 カスミ日立豊浦店内,shop4,IBARAKI_HITACHI
DAISO,日立大みか店,36.5153,140.62627,茨城県日立市大みか町2-1-15,shop4,IBARAKI_HITACHI
DAISO,やまや東大沼店,36.52694,140.62396,茨城県日立市東大沼町3-28-8,shop4,IBARAKI_HITACHI
DAISO,やまや南高野店,36.50371,140.60524,茨城県日立市南高野町1-7-16,shop4,IBARAKI_HITACHI
DAISO,ビッグハウス鉾田店,36.19113,140.5598,茨城県鉾田市滝浜西街道482-1,shop4,IBARAKI_KASUMIGAURA
DAISO,アクロスショッピングガーデン鉾田店,36.15366,140.49498,茨城県鉾田市塔ヶ崎字塙下1084番地アクロスショッピングガーデン鉾田内,shop4,IBARAKI_KASUMIGAURA
DAISO,カインズ北茨城店,36.82768,140.77385,茨城県北茨城市関南町神岡下字南浜田273 カインズ北茨城店内,shop4,IBARAKI_HITACHI
DAISO,北茨城中郷店,36.77458,140.73267,茨城県北茨城市中郷町上桜井2762番地,shop4,IBARAKI_HITACHI
DAISO,カスミ利根町店,35.85571,140.14969,茨城県北相馬郡利根町四季の丘1-16-1,shop4,IBARAKI_KASUMIGAURA
DAISO,竜ヶ崎城南ショッピングセンター店,35.90591,140.19708,茨城県龍ケ崎市光順田1692,shop4,IBARAKI_KASUMIGAURA
DAISO,Standard Products 竜ヶ崎サプラ店,35.93317,140.16017,茨城県龍ケ崎市小柴5-1-2 ショッピングセンターサプラ1階,shop4,IBARAKI_KASUMIGAURA
DAISO,竜ヶ崎サプラ店,35.93317,140.16017,茨城県龍ケ崎市小柴5-1-2 ショッピングセンターサプラ1階,shop4,IBARAKI_KASUMIGAURA
キャスティング,つくば店,36.076406,140.086016,茨城県つくば市学園南3-16-5,shop2,IBARAKI_TSUKUBA
キャスティング,鹿島神栖店,35.914972,140.636625,茨城県神栖市平泉290番2,shop2,IBARAKI_KASUMIGAURA
キャスティング,水戸店,36.345726,140.472699,茨城県水戸市元吉田町1322-1,shop2,IBARAKI_KASUMIGAURA
キャスティング,土浦店,36.086876,140.186263,茨城県土浦市田中2-12-6,shop2,IBARAKI_KASUMIGAURA
セリア,生活良品 千代田モール店,36.12378,140.22955,茨城県かすみがうら市下稲吉２６３３－６,shop4,IBARAKI_KASUMIGAURA
セリア,かすみがうら店,36.13549,140.22728,茨城県かすみがうら市下稲吉２６５４－１,shop4,IBARAKI_KASUMIGAURA
セリア,生活良品 ピアシティみらい平店,35.99542,140.03989,茨城県つくばみらい市陽光台１－１４－１,shop4,IBARAKI_TSUKUBA
セリア,みどりの店,36.03533,140.05261,茨城県つくば市みどりの２－３９－２,shop4,IBARAKI_TSUKUBA
セリア,イオンモールつくば店,36.0346,140.13272,茨城県つくば市稲岡６６－１イオンモールつくば　２Ｆ,shop4,IBARAKI_TSUKUBA
セリア,レプサモールつくば店,36.05053,140.13658,茨城県つくば市下原３８０－５レプサモール内,shop4,IBARAKI_TSUKUBA
セリア,生活良品 テクノパーク桜店,36.11411,140.11465,茨城県つくば市桜３－１８－２,shop4,IBARAKI_TSUKUBA
セリア,フォルテつくば店,36.07634,140.10231,茨城県つくば市小野崎２７８－６フォルテつくば内,shop4,IBARAKI_TSUKUBA
セリア,生活良品 つくば筑穂店,36.13397,140.08148,茨城県つくば市筑穂２－１１－３,shop4,IBARAKI_TSUKUBA
セリア,生活良品 つくば店,36.07269,140.1174,茨城県つくば市二の宮１－４－３,shop4,IBARAKI_TSUKUBA
