group,name,lat,lng,notes,icon,areaId
,今井釣具店,35.11103,139.82906,千葉県鋸南町勝山120,shop0,CHIBA_MINAMI
,港釣具店,35.53753,140.45442,千葉県九十九里町小関2344-13,shop0,CHIBA_CHOUSHI
,やお善釣具店,35.52953,140.44733,千葉県九十九里町片貝6782,shop0,CHIBA_CHOUSHI
,第一フィッシング 君津店,35.31416,139.92807,千葉県君津市外箕輪113-1,shop0,CHIBA_MINAMI
セリア,APITAパワー君津店,35.33219,139.89867,千葉県君津市久保1-1-1APITAパワー君津店 2F,shop4,CHIBA_MINAMI
DAISO,イオンタウン君津店,35.33452,139.88446,千葉県君津市中野5丁目17-1,shop4,CHIBA_MINAMI
DAISO,君津駅前店,35.33471,139.89804,千葉県君津市東坂田4-10-30,shop4,CHIBA_MINAMI
セリア,君津店,35.32246,139.92044,千葉県君津市南子安6-8-31,shop4,CHIBA_MINAMI
セリア,多古店,35.73866,140.46838,千葉県香取郡多古町多古字穂浪1598,shop4,CHIBA_CHOUSHI
ヤックスドラッグ,アタック5 佐原店,35.90056,140.4937,千葉県香取市佐原イ4187-1,shop2,CHIBA_CHOUSHI
ヤックスドラッグ,アタック5 佐原バイパス店,35.90056,140.4937,千葉県香取市佐原イ4196-1,shop2,CHIBA_CHOUSHI
DAISO,サワラシティ店,35.89992,140.48936,千葉県香取市佐原ホ1236-1ショッピングモールサワラシティ2階,shop4,CHIBA_CHOUSHI
,プロショップケイズ,35.90334,140.49196,千葉県香取市佐原ロ2018-1,shop0,CHIBA_CHOUSHI
,つり具のつくば屋,35.85765,140.61128,千葉県香取市小見川4866-314,shop0,CHIBA_CHOUSHI
,高橋つり具,35.86173,140.60707,千葉県香取市小見川5629,shop0,CHIBA_CHOUSHI
DAISO,小見川アピオ店,35.86051,140.59755,千葉県香取市分郷218,shop4,CHIBA_CHOUSHI
セリア,ユーカリプラザ店,35.72412,140.15517,千葉県佐倉市ユーカリが丘4-1-4ユーカリプラザ 4F,shop4,CHIBA_UCHIBOU
セリア,イオン臼井店,35.7298,140.1825,千葉県佐倉市王子台1-23イオン臼井店 2F,shop4,CHIBA_UCHIBOU
DAISO,京成臼井駅ビルViM店,35.729,140.17995,千葉県佐倉市王子台3-30-4京成臼井駅ビルViM2階,shop4,CHIBA_UCHIBOU
DAISO,ライフガーデン佐倉店,35.71448,140.21912,千葉県佐倉市寺崎北5-1-1,shop4,CHIBA_UCHIBOU
セリア,ベイシア佐倉店,35.7145,140.21696,千葉県佐倉市寺崎北6-1-1ベイシア佐倉店 1F,shop4,CHIBA_UCHIBOU
,イレブンつり具センター,35.71482,140.15587,千葉県佐倉市上志津1043-35,shop0,CHIBA_UCHIBOU
DAISO,ベルク佐倉志津店,35.71746,140.14749,千葉県佐倉市上志津1764-1 ベルク佐倉志津1階,shop4,CHIBA_UCHIBOU
DAISO,イオンタウンユーカリが丘店,35.7263,140.15073,千葉県佐倉市西ユーカリが丘6-12-3イオンタウンユーカリが丘東街区1階E112,shop4,CHIBA_UCHIBOU
DAISO,ザ・マーケットプレイス佐倉店,35.71923,140.19199,千葉県佐倉市染井野4-7-1,shop4,CHIBA_UCHIBOU
DAISO,ピアシティ横芝光店,35.65991,140.48608,千葉県山武郡横芝光町横芝2122ピアシティ横芝光内,shop4,CHIBA_CHOUSHI
セリア,ベイシア成田芝山店,35.7323,140.36943,千葉県山武郡芝山町岩山2299-1ベイシア成田芝山店 1F,shop4,CHIBA_CHOUSHI
セリア,ランドローム山武店,35.646,140.36702,千葉県山武市埴谷1873-1,shop4,CHIBA_CHOUSHI
DAISO,MEGAドン・キホーテ成東店,35.59538,140.39767,千葉県山武市成東1808-1MEGAドン・キホーテ成東店内1階,shop4,CHIBA_CHOUSHI
DAISO,カスミ成東店,35.59993,140.40718,千葉県山武市成東486-1 カスミ成東1階,shop4,CHIBA_CHOUSHI
DAISO,MEGAドン・キホーテ四街道店,35.65253,140.16985,千葉県四街道市めいわ2丁目1番1号MEGAドン・キホーテ四街道店2階,shop4,CHIBA_UCHIBOU
セリア,もねの里モール店,35.68507,140.19086,千葉県四街道市もねの里6-10-1もねの里モール内,shop4,CHIBA_UCHIBOU
DAISO,四街道M2プラザ店,35.67262,140.16339,千葉県四街道市大日429-2四街道M2プラザ3階,shop4,CHIBA_UCHIBOU
セリア,イトーヨーカドー四街道店,35.66756,140.16515,千葉県四街道市中央5イトーヨーカドー四街道店 1F,shop4,CHIBA_UCHIBOU
DAISO,ユニモちはら台店,35.52817,140.17154,千葉県市原市ちはら台西3丁目4番2059 ユニモちはら台 2階,shop4,CHIBA_UCHIBOU
セリア,もりまちちはら台モール店,35.52385,140.18109,千葉県市原市ちはら台南2-32-2もりまち ちはら台モール内,shop4,CHIBA_UCHIBOU
セリア,市原牛久店,35.40139,140.14502,千葉県市原市牛久1066-1,shop4,CHIBA_UCHIBOU
タックルベリー,市原店,35.51895,140.10408,千葉県市原市君塚1-22-6,shop2,CHIBA_UCHIBOU
DAISO,古市場店,35.54877,140.13953,千葉県市原市古市場594-1,shop4,CHIBA_UCHIBOU
つり具ランド,市原店,35.51984,140.09467,千葉県市原市五井4771-2,shop2,CHIBA_UCHIBOU
セリア,アクロスプラザ市原更級店,35.50998,140.10129,千葉県市原市更級4-2-1アクロスプラザ市原更級内,shop4,CHIBA_UCHIBOU
DAISO,アリオ市原店,35.50792,140.10181,千葉県市原市更級4丁目3番2アリオ市原店内 2階,shop4,CHIBA_UCHIBOU
DAISO,市原せんどう国分寺店,35.50262,140.11472,千葉県市原市国分寺台中央6-10-1スーパーせんどう国分寺店,shop4,CHIBA_UCHIBOU
DAISO,市原青柳店,35.50991,140.06305,千葉県市原市青柳北2-5-6,shop4,CHIBA_UCHIBOU
DAISO,市原辰巳台店,35.51826,140.14967,千葉県市原市辰巳台東3-5-6,shop4,CHIBA_UCHIBOU
,オンリーワンフィッシングショップ,35.52906,140.12148,千葉県市原市八幡331-3,shop0,CHIBA_UCHIBOU
キャスティング,市原16号店,35.53056,140.10364,千葉県市原市八幡海岸通1963-3,shop2,CHIBA_UCHIBOU
上州屋,市原店,35.54155,140.10454,千葉県市原市八幡海岸通り1967-11,shop2,CHIBA_UCHIBOU
セリア,ベイシア市原八幡店,35.54155,140.10454,千葉県市原市八幡字海岸2381-1ベイシア市原八幡店 1F,shop4,CHIBA_UCHIBOU
,市原フィッシングセンター,35.54607,140.12151,千葉県市原市八幡北町2-3-1,shop0,CHIBA_UCHIBOU
セリア,ニッケコルトンプラザ店,35.71503,139.93266,千葉県市川市鬼高1-1-1ニッケコルトンプラザ イーストモール 2F,shop4,CHIBA_UCHIBOU
タックルベリー,市川店,35.71043,139.93523,千葉県市川市鬼高3-17-17,shop2,CHIBA_UCHIBOU
DAISO,サンベルクス市川鬼高店,35.70888,139.93872,千葉県市川市鬼高3-32-12 2階,shop4,CHIBA_UCHIBOU
セリア,西友行徳店,35.68412,139.91524,千葉県市川市行徳駅前1-19-1西友行徳店 4F,shop4,CHIBA_UCHIBOU
DAISO,行徳駅前店,35.68411,139.91411,千葉県市川市行徳駅前1-22-8,shop4,CHIBA_UCHIBOU
DAISO,マルエツ行徳店,35.68111,139.9149,千葉県市川市行徳駅前2-11-2マルエツ行徳店2階,shop4,CHIBA_UCHIBOU
DAISO,ダイエー市川店,35.72932,139.90851,千葉県市川市市川1-4-10ダイエー市川店7階,shop4,CHIBA_UCHIBOU
セリア,市川駅前店,35.72999,139.90831,千葉県市川市市川1-7-6愛愛ビル B1F,shop4,CHIBA_UCHIBOU
DAISO,そよらリーフシティ市川店,35.72526,139.90414,千葉県市川市市川南2-8-1 そよらリーフシティ市川店2階,shop4,CHIBA_UCHIBOU
キャスティング,市川東店,35.73453,139.94586,千葉県市川市東菅野5-13-27,shop2,CHIBA_UCHIBOU
キャスティング,南行徳店,35.67068,139.90222,千葉県市川市南行徳1丁目22-23,shop2,CHIBA_UCHIBOU
DAISO,ソコラ南行徳店,35.66865,139.90565,千葉県市川市南行徳2-20-25 ソコラ南行徳2階,shop4,CHIBA_UCHIBOU
DAISO,MEGAドン・キホーテ本八幡店,35.71894,139.92554,千葉県市川市南八幡4-9-1MEGAドン・キホーテ本八幡店4階,shop4,CHIBA_UCHIBOU
,宝釣具センター,35.68394,139.92647,千葉県市川市宝1-9-24,shop0,CHIBA_UCHIBOU
DAISO,イオン市川妙典店,35.69187,139.92714,千葉県市川市妙典4-4-1 イオン市川妙典3番街1階,shop4,CHIBA_UCHIBOU
セリア,妙典店,35.6937,139.92772,千葉県市川市妙典5-2-20,shop4,CHIBA_UCHIBOU
DAISO,ミスターマックス新習志野店,35.66568,140.01309,千葉県習志野市茜浜2-2-1ミスターマックス新習志野内2階,shop4,CHIBA_UCHIBOU
セリア,島忠ホームズ幕張店,35.66033,140.02191,千葉県習志野市芝園1-4-1島忠ホームズ幕張店 1F,shop4,CHIBA_UCHIBOU
DAISO,奏の杜フォルテ津田沼店,35.68926,140.01556,千葉県習志野市奏の杜2-1-1,shop4,CHIBA_UCHIBOU
DAISO,津田沼駅南口店,35.69099,140.02026,千葉県習志野市津田沼1-1-1 JR東日本ホテルメッツ津田沼4階・5階,shop4,CHIBA_UCHIBOU
DAISO,イオンモール津田沼South店,35.68977,140.02431,千葉県習志野市津田沼1-10-30 イオンモール津田沼South5階,shop4,CHIBA_UCHIBOU
セリア,イオンモール津田沼North店,35.69031,140.02493,千葉県習志野市津田沼1-23-1イオンモール津田沼North 3F,shop4,CHIBA_UCHIBOU
,三橋つり具店,35.6767,140.02197,千葉県習志野市津田沼6-2-23,shop0,CHIBA_UCHIBOU
DAISO,イオンタウン東習志野店,35.69947,140.06642,千葉県習志野市東習志野6-7-8 イオンタウン東習志野店内,shop4,CHIBA_UCHIBOU
タックルベリー,習志野店,35.6905,140.03966,千葉県習志野市藤崎6-15-10,shop2,CHIBA_UCHIBOU
,京橋釣具店,35.13586,140.24818,千葉県勝浦市興津2593,shop0,CHIBA_SOTOBOU
セリア,ベイシア勝浦店,35.15826,140.32845,千葉県勝浦市新官字長畑1392ベイシア勝浦店 1F,shop4,CHIBA_SOTOBOU
,サンデー,35.1506,140.31241,千葉県勝浦市墨名708-6,shop0,CHIBA_SOTOBOU
DAISO,やまや松戸栄町店,35.81093,139.89461,千葉県松戸市栄町西4丁目1193,shop4,CHIBA_UCHIBOU
DAISO,マルエツ矢切駅前店,35.756,139.90005,千葉県松戸市栗山19-1,shop4,CHIBA_UCHIBOU
DAISO,プラッツ五香店,35.79627,139.98067,千葉県松戸市五香8-44-6プラッツ五香店2階,shop4,CHIBA_UCHIBOU
DAISO,ベスタ松戸秋山2号館店,35.76477,139.93158,千葉県松戸市秋山1丁目2番27ベスタ松戸秋山2号館,shop4,CHIBA_UCHIBOU
DAISO,イオン北小金店,35.83289,139.93144,千葉県松戸市小金1 イオン北小金4階,shop4,CHIBA_UCHIBOU
