name,zoom,individualId,lat,lng,areaId,URL,notes,icon
興津東港・興津西港,16,14,35.131895,140.249823,CHIBA_SOTOBOU,,,spot
松部港・吉尾港,16,15,35.14055,140.288919,CHIBA_SOTOBOU,,,spot
浜行川港・大沢港,15,16,35.121456,140.22784,CHIBA_SOTOBOU,,,spot
養老渓谷釣堀センター,,17,35.25049,140.16809,CHIBA_SOTOBOU,https://www.tsuribori-center.com/,千葉県夷隅郡大多喜町葛藤163-1,fish3
新治堰,,18,35.473296,140.261605,CHIBA_SOTOBOU,,千葉県茂原市上太田631,fish4
とり亀つりぼりカフェ,,19,35.326507,140.288236,CHIBA_SOTOBOU,,千葉県長生郡睦沢町大上1508,fish4
親水公園フィッシングパーク,,20,35.280365,140.248301,CHIBA_SOTOBOU,,千葉県夷隅郡大多喜町新丁298,fish4
高滝湖観光企業組合,,21,35.35183,140.16164,CHIBA_SOTOBOU,,千葉県市原市高滝1365-1,fish6
鳥居崎海浜公園・木更津塩浜公園,16,1,35.380898,139.910556,CHIBA_UCHIBOU,,,spot
中の島公園・木更津内港公園,16,2,35.387109,139.91429,CHIBA_UCHIBOU,,,spot
小櫃川河口,16,3,35.410178,139.900621,CHIBA_UCHIBOU,,,spot
畔戸港・見立港,16,4,35.427876,139.900621,CHIBA_UCHIBOU,,,spot
高須船溜・金田港,16,5,35.439733,139.916307,CHIBA_UCHIBOU,,,spot
吞堀港・牛込港,15,6,35.444208,139.934042,CHIBA_UCHIBOU,,,spot
袖ヶ浦海浜公園,16,7,35.457352,139.953064,CHIBA_UCHIBOU,,,spot
長浦港,17,8,35.470457,139.98886,CHIBA_UCHIBOU,,,spot
姉ヶ崎港,17,9,35.46774,140.021648,CHIBA_UCHIBOU,,,spot
養老川河口,15,10,35.542214,140.070126,CHIBA_UCHIBOU,,,spot
千葉港・アクアリンク裏,14,11,35.603236,140.084138,CHIBA_UCHIBOU,,,spot
検見川浜突堤・花見川河口,15,12,35.627512,140.049655,CHIBA_UCHIBOU,,,spot
茜浜,17,13,35.658979,140.008205,CHIBA_UCHIBOU,,,spot
船橋港親水公園,17,14,35.688926,139.987294,CHIBA_UCHIBOU,,,spot
江戸川河口・行徳海岸,15,15,35.675286,139.942067,CHIBA_UCHIBOU,,,spot
猫実川・入船海岸,15,16,35.654543,139.919751,CHIBA_UCHIBOU,,,spot
浦安市墓地公園,16,17,35.639672,139.937142,CHIBA_UCHIBOU,,,spot
高州海浜公園,16,18,35.632797,139.923259,CHIBA_UCHIBOU,,,spot
浦安電波塔,16,19,35.617867,139.897252,CHIBA_UCHIBOU,,,spot
ディズニー裏,15,20,35.626499,139.880354,CHIBA_UCHIBOU,,,spot
旧江戸川河口,16,21,35.642336,139.878069,CHIBA_UCHIBOU,,,spot
オリジナルメーカー海づり公園,,22,35.54215,140.06082,CHIBA_UCHIBOU,https://ichihara-umizuri.com/,千葉県市原市五井南海岸1-12,fish1
ウォルトンガーデン,,23,35.85972,140.2849,CHIBA_UCHIBOU,https://www.waltongarden.net/,千葉県成田市竜台96,fish3
trout pond NOIKE,,24,35.57387,140.23207,CHIBA_UCHIBOU,https://troutpond1089.com/,千葉県千葉市若葉区野呂町1591,fish3
Y's garden,,25,35.44814,140.11093,CHIBA_UCHIBOU,https://sites.google.com/view/yg-ichihara,千葉県市原市高坂２０２,fish3
手賀沼フィッシングセンター,,26,35.85242,140.06563,CHIBA_UCHIBOU,https://teganumafishing.com/,千葉県柏市曙橋1,fish3
清水公園マス釣り場,,27,35.95561,139.85718,CHIBA_UCHIBOU,https://www.shimizu-kouen.com/fishing,千葉県野田市清水979-1,fish3
アート・ヘラ・ポンド,,28,35.68686,140.24068,CHIBA_UCHIBOU,,千葉県佐倉市木野子39,fish4
千葉北スカイランド釣り堀センター,,29,35.67212,140.12909,CHIBA_UCHIBOU,http://chiba-skyland.co.jp/,千葉県千葉市稲毛区長沼原町261,fish4
FUJI養殖場,,30,35.69211,140.15234,CHIBA_UCHIBOU,,千葉県四街道市大日2026-2,fish4
道野辺つり堀センター,,31,35.75145,139.99796,CHIBA_UCHIBOU,,千葉県鎌ケ谷市東道野辺3-8-16,fish4
田園へら鮒釣堀,,32,35.78678,139.96469,CHIBA_UCHIBOU,,千葉県松戸市五香西4丁目5,fish4
三楽園,,33,35.9242,139.92879,CHIBA_UCHIBOU,,千葉県野田市上三ヶ尾703-1,fish4
鈴木園,,34,35.8609,140.04546,CHIBA_UCHIBOU,,千葉県我孫子市岡発戸新田145,fish4
座間養魚場,,35,35.85141,139.99803,CHIBA_UCHIBOU,,千葉県柏市大井1375,fish4
管理釣り場将監,,36,35.84096,140.22614,CHIBA_UCHIBOU,,千葉県印旛郡栄町脇川96,fish4
富里乃堰,,37,35.73066,140.36075,CHIBA_UCHIBOU,,千葉県富里市根木名197-1,fish4
放年園,,38,35.82611,140.24738,CHIBA_UCHIBOU,,千葉県印旛郡栄町安食3797,fish4
小川園,,39,35.86013,140.03355,CHIBA_UCHIBOU,http://heraogawaen.web.fc2.com/,千葉県我孫子市高野山新田177,fish4
へら鮒　水光園,,40,35.79435,140.06,CHIBA_UCHIBOU,http://herabuna-suikouen.com/,千葉県白井市復1436,fish4
真嶋園,,41,35.83568,140.21127,CHIBA_UCHIBOU,,千葉県印西市将監34,fish4
へら鮒管理釣場 甚兵衛沼,,42,35.81833,140.22606,CHIBA_UCHIBOU,,千葉県印西市甚兵衛31,fish4
清遊湖へら鮒つり堀,,43,35.82297,140.03569,CHIBA_UCHIBOU,https://seiyuko.com/,千葉県柏市金山206-1,fish4
逆井へら鮒センター,,44,35.81273,139.98174,CHIBA_UCHIBOU,https://heranosato.com/,千葉県柏市逆井456,fish4
高橋ボート,,45,35.77795,140.26363,CHIBA_UCHIBOU,,千葉県成田市下方1377,fish6
MONOPOOL MTM,,46,35.74107,140.18149,CHIBA_UCHIBOU,,千葉県佐倉市臼井田2638-3,fish6
ふな一貸船店,,47,35.73935,140.1973,CHIBA_UCHIBOU,,千葉県佐倉市臼井田1381,fish6
WEST VILLE,,48,35.85714,140.02313,CHIBA_UCHIBOU,,千葉県柏市箕輪新田39-2,fish6
長門川マリーナ,,49,35.84134756,140.2312881,CHIBA_UCHIBOU,,千葉県印旛郡栄町和田,fish6
ボートセンター 小池,,50,35.86571,140.01341,CHIBA_UCHIBOU,,千葉県我孫子市我孫子新田25-1,fish6
